                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89752,                 2.8129,                 1.4821,                0.35871,                 0.8254,                0.56949,                0.31792,                 0.8275,                 3.5338,                 1.2043,             0.00036005,             0.00036005,             0.00036005
                      2,                0.35076,                 1.1594,                 1.0484,                0.28311,                0.59217,                0.39213,                0.34348,                 1.2325,                 17.618,                 1.8335,             0.00072315,             0.00072315,             0.00072315
                      3,                0.36125,                 1.0072,                 1.0446,                0.42189,                0.63173,                0.57272,                0.54533,                0.54846,                 2.1366,                0.96334,              0.0010789,              0.0010789,              0.0010789
                      4,                0.36593,                0.93432,                 1.0236,                0.32919,                 0.4478,                0.37878,                0.12608,                 3.1352,                 5.5786,                 3.1074,               0.001078,               0.001078,               0.001078
                      5,                0.34872,                0.86626,                 1.0331,                0.68491,                0.80645,                0.82573,                0.72623,                0.51764,                 1.3705,                0.94665,               0.001078,               0.001078,               0.001078
                      6,                0.31209,                0.75965,                0.99487,                0.49885,                0.72589,                0.69709,                0.62696,                0.42642,                 2.1145,                0.78889,               0.001067,               0.001067,               0.001067
                      7,                0.29182,                0.76252,                0.97563,                 0.3917,                0.76035,                0.58429,                 0.5338,                0.49694,                 2.0963,                0.87641,               0.001056,               0.001056,               0.001056
                      8,                0.28456,                0.71277,                 0.9843,                0.63634,                0.84205,                0.84373,                0.83663,                0.35495,                 1.1908,                0.82699,               0.001045,               0.001045,               0.001045
                      9,                0.26575,                0.73441,                0.96799,                0.65282,                0.71774,                0.87843,                0.72364,                0.40011,                 1.3691,                0.86862,               0.001034,               0.001034,               0.001034
                     10,                0.31249,                0.65918,                 1.0696,                0.53584,                0.90909,                0.75035,                0.66396,                0.54456,                 2.8561,                 1.0331,               0.001023,               0.001023,               0.001023
                     11,                0.28241,                0.62647,                0.99211,                 0.2746,                0.79522,                0.59287,                 0.5853,                0.37234,                 2.3733,                0.81495,               0.001012,               0.001012,               0.001012
                     12,                0.23876,                0.72699,                0.96543,                0.92469,                0.66738,                0.69375,                0.69313,                0.26597,                 1.1563,                0.68346,               0.001001,               0.001001,               0.001001
                     13,                0.24062,                0.62159,                0.96501,                0.86714,                0.87689,                0.87518,                0.87294,                 0.2668,                0.99984,                0.66436,             0.00099001,             0.00099001,             0.00099001
                     14,                0.23348,                0.56848,                0.96598,                0.50244,                0.81218,                0.84595,                0.79243,                0.59264,                 1.5778,                 1.2714,             0.00097901,             0.00097901,             0.00097901
                     15,                0.31811,                0.79634,                 1.1211,                0.87251,                0.83014,                0.88181,                0.85167,                0.36473,                 0.9149,                 0.8107,             0.00096801,             0.00096801,             0.00096801
                     16,                0.20923,                0.65539,                0.93853,                0.91716,                0.87362,                0.93366,                0.93228,                0.26227,                0.90015,                0.69009,             0.00095702,             0.00095702,             0.00095702
                     17,                 0.2035,                0.56573,                0.94265,                 0.8341,                0.90374,                0.83003,                0.81822,                0.22756,                  1.361,                0.61752,             0.00094602,             0.00094602,             0.00094602
                     18,                0.21416,                0.49741,                0.94606,                0.73595,                0.90374,                0.90547,                0.88557,                  0.243,                 1.2667,                0.65296,             0.00093502,             0.00093502,             0.00093502
                     19,                0.20564,                 0.5492,                0.94743,                0.91462,                0.89932,                0.92732,                0.92631,                0.25568,                0.91374,                0.69252,             0.00092402,             0.00092402,             0.00092402
                     20,                0.18164,                0.50445,                0.91651,                0.89828,                0.90374,                0.90537,                0.90457,                0.26386,                0.97869,                0.68759,             0.00091302,             0.00091302,             0.00091302
                     21,                0.17872,                0.44454,                0.92185,                0.86629,                0.67573,                0.85814,                0.84778,                0.27492,                 1.2046,                0.70582,             0.00090202,             0.00090202,             0.00090202
                     22,                 0.1741,                0.48769,                0.93045,                0.67733,                0.66814,                0.62114,                0.59741,                0.27732,                 1.7506,                0.72781,             0.00089102,             0.00089102,             0.00089102
                     23,                0.24648,                0.72625,                 1.0029,                0.91065,                0.80064,                0.88029,                0.86261,                0.35151,                  1.314,                0.76155,             0.00088002,             0.00088002,             0.00088002
                     24,                0.17533,                0.45774,                0.93027,                0.85736,                0.80209,                0.91223,                0.90991,                0.23963,                0.92224,                0.65682,             0.00086902,             0.00086902,             0.00086902
                     25,                0.17755,                0.45413,                0.92007,                0.87652,                0.88421,                0.90839,                0.90579,                0.27541,                0.85557,                0.73762,             0.00085803,             0.00085803,             0.00085803
                     26,                0.16939,                0.47837,                0.90818,                0.76698,                0.82819,                0.85295,                0.83202,                0.29911,                 1.2594,                0.76195,             0.00084703,             0.00084703,             0.00084703
                     27,                 0.1984,                0.58784,                0.97769,                0.77583,                0.85044,                0.85497,                0.81662,                0.36347,                 1.2073,                0.80408,             0.00083603,             0.00083603,             0.00083603
                     28,                0.16082,                0.43227,                0.91776,                0.87629,                0.87104,                 0.8928,                0.89055,                0.26907,                 1.0112,                0.70144,             0.00082503,             0.00082503,             0.00082503
                     29,                0.15682,                0.45005,                0.92181,                0.87737,                0.87308,                0.93291,                0.81797,                0.36282,                 0.8025,                0.76196,             0.00081403,             0.00081403,             0.00081403
                     30,                0.17529,                0.43741,                0.92918,                0.68028,                0.90909,                0.90004,                0.90004,                0.19282,                 1.1382,                0.60266,             0.00080303,             0.00080303,             0.00080303
                     31,                0.27714,                0.74629,                 1.2097,                0.34858,                0.59133,                0.38043,                 0.3355,                0.55613,                 2.9945,                0.85445,             0.00079203,             0.00079203,             0.00079203
